country,Company,Number of locations,Number of employees
united states,hannaford,183,
united states,happy harrys,76,
united states,eataly,45,
united states,savealot,900,
united states,brunos,300,
united states,giant food landover,165,22000
united states,tops friendly markets,154,14000
united states,city market us grocery store chain,38,
united states,owens market,,
united states,raleys supermarkets,129,23000
united states,bashas,118,9085
united states,frys food and drug,123,22000
united states,rainbow foods,40,
united states,ikea,445,219000
united states,qfc,62,5900
united states,smiths food and drug,164,22000
united states,plus,4243,27700
united states,office depot,960,20000
united states,scotts food  pharmacy,18,
united states,lidl,12200,360000
united states,iga,,
united states,winndixie,546,41000
united states,safeway,904,250000
united states,piggly wiggly,499,
united states,kroger,2719,465000
united states,kowalskis,11,
united states,lucky stores,70,
united states,savemart,293,23000
united states,vons,193,44000
united states,carrssafeway,24,
united states,meijer,467,70000
united states,farmer jack,100,7200
united states,foodland hawaii,32,
united states,foodland,,
united states,delhaize group,3534,
united states,tom thumb,64,2000
united states,spartan stores,,17500
united states,randalls,32,16000
united states,pavilions,26,
united states,genuardis,39,7000
united states,stater bros,171,18000
united states,chedraui,262,38000
united states,kmart,8,
uruguay,ta sa,450,
uruguay,pueblo,,
uruguay,gant casino,281,133000
uruguay,casino,10800,196307
vanuatu,leader price,215,
venezuela,makro shv holdings,107,6655
venezuela,supermercado la franco italiana,,
vietnam,parkson,131,
vietnam,circle k,15000,40000
vietnam,big c,1234,27000
vietnam,lotte mart,199,
vietnam,watsons,9500,
vietnam,giant hypermarket,80,
vietnam,familymart,24941,16601
vietnam,aeon,20008,560000
vietnam,emart,183,
wallisetfutuna,gant casino,281,133000
west germany,safeway,904,250000
yemen,lulu hypermarket,238,57000
zambia,shoprite holdings ltd,3326,153000
zambia,spar,13623,410000
zimbabwe,shoprite holdings ltd,3326,153000
zimbabwe,spar,13623,410000
